18-06-28 15:43:01 result parse_posts_html{'time': '1月15日', 'original': '原创', 'comment_sum': 0, 'share': '', 'praise': '8', 'content': '许志永更换了头像 许志永更换了头像 1月15日'}
18-06-28 15:48:15 result parse_posts_html{'time': '18 小时', 'original': '原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永 许志永 18 小时'}
18-06-28 15:48:15 result parse_posts_html{'time': '4月5日 4月5日', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永分享了帖子 许志永分享了帖子 4月5日 丁家喜 4月5日', '_id': ObjectId('5b3492bf7aec103f04078961')}
18-06-28 15:48:51 result parse_posts_html{'time': '18 小时', 'original': '原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永 许志永 18 小时'}
18-06-28 15:48:51 result parse_posts_html{'time': '4月5日 4月5日', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永分享了帖子 许志永分享了帖子 4月5日 丁家喜 4月5日', '_id': ObjectId('5b3492e37aec103d58d83d41')}
18-06-28 15:49:06 result parse_posts_html{'time': '18 小时', 'original': '原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永 许志永 18 小时'}
18-06-28 15:49:06 result parse_posts_html{'time': '4月5日 4月5日', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永分享了帖子 许志永分享了帖子 4月5日 丁家喜 4月5日', '_id': ObjectId('5b3492f27aec101fd4502a0a')}
18-06-28 15:51:22 result parse_posts_html{'time': '18 小时', 'original': '原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永 许志永 18 小时'}
18-06-28 15:51:22 result parse_posts_html{'time': '4月5日 4月5日', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永分享了帖子 许志永分享了帖子 4月5日 丁家喜 4月5日'}
18-06-28 15:51:22 result parse_posts_html{'time': '4月4日 4月4日', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永分享了帖子 许志永分享了帖子 4月4日 李文足 4月4日'}
18-06-28 15:51:22 result parse_posts_html{'time': '4月4日', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永分享了链接 许志永分享了链接 4月4日'}
18-06-28 15:51:22 result parse_posts_html{'time': '2月15日', 'original': '原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永 许志永 2月15日'}
18-06-28 15:51:22 result parse_posts_html{'time': '2月12日', 'original': '原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永 许志永 2月12日'}
18-06-28 15:51:22 result parse_posts_html{'time': '1月15日', 'original': '原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永 许志永 1月15日'}
18-06-28 15:51:22 result parse_posts_html{'time': '1月15日', 'original': '原创', 'comment_sum': 0, 'share': '', 'praise': '', 'content': '许志永更换了头像 许志永更换了头像 1月15日'}
18-06-28 15:58:02 result parse_posts_html{'time': '18 小时', 'original': '原创', 'comment_sum': 4, 'share': '12次分享', 'praise': '54', 'content': '许志永 许志永 18 小时'}
18-06-28 15:58:02 result parse_posts_html{'time': '4月5日 4月5日', 'original': '非原创', 'comment_sum': 1, 'share': '2次分享', 'praise': '15', 'content': '许志永分享了帖子 许志永分享了帖子 4月5日 丁家喜 4月5日'}
18-06-28 15:58:02 result parse_posts_html{'time': '4月4日 4月4日', 'original': '非原创', 'comment_sum': 0, 'share': '2次分享', 'praise': '12', 'content': '许志永分享了帖子 许志永分享了帖子 4月4日 李文足 4月4日'}
18-06-28 15:58:02 result parse_posts_html{'time': '4月4日', 'original': '非原创', 'comment_sum': 1, 'share': '1 次分享', 'praise': '6', 'content': '许志永分享了链接 许志永分享了链接 4月4日'}
18-06-28 15:58:02 result parse_posts_html{'time': '2月15日', 'original': '原创', 'comment_sum': 7, 'share': '1 次分享', 'praise': '21', 'content': '许志永 许志永 2月15日'}
18-06-28 15:58:02 result parse_posts_html{'time': '2月12日', 'original': '原创', 'comment_sum': 25, 'share': '2次分享', 'praise': '103', 'content': '许志永 许志永 2月12日'}
18-06-28 15:58:02 result parse_posts_html{'time': '1月15日', 'original': '原创', 'comment_sum': 30, 'share': '32次分享', 'praise': '102', 'content': '许志永 许志永 1月15日'}
18-06-28 15:58:02 result parse_posts_html{'time': '1月15日', 'original': '原创', 'comment_sum': 0, 'share': '', 'praise': '8', 'content': '许志永更换了头像 许志永更换了头像 1月15日'}
18-06-28 15:59:48 result parse_posts_html{'time': '18 小时', 'original': '原创', 'comment_sum': 4, 'share': '12次分享', 'praise': '54', 'content': '强权社会大众被剥夺。人人犬儒，支撑后极权。\n每个人每个群体为正当利益诉求挺身而出，客观上就在推动社会进步。\n支持老兵、教师、抖友、卡友维权，不苛责其理念、动机、口号。\n...\n引领国家变革方向的是理想主义者，不以此标准要求公众。大众挺身而出，为利益，或为朴素的愤怒，是社会运动的主力。\n展开'}
18-06-28 15:59:48 result parse_posts_html{'time': '4月5日 4月5日', 'original': '非原创', 'comment_sum': 1, 'share': '2次分享', 'praise': '15', 'content': '#李文足千里寻夫# 徒步第二天。早上六人出发，中途增加三人，九人顺利到达休息地点。欢迎大家参与，一起关注王全璋律师：他被抓1000天，家属委托的律师一直无法会见，起诉至法院已近一年两月不审判，到最高法最高检控告28次无回音。体制作恶，于今为甚。'}
18-06-28 15:59:48 result parse_posts_html{'time': '4月4日 4月4日', 'original': '非原创', 'comment_sum': 0, 'share': '2次分享', 'praise': '12', 'content': '李文足千里寻夫\n徒步第一天'}
18-06-28 15:59:48 result parse_posts_html{'time': '4月4日', 'original': '非原创', 'comment_sum': 1, 'share': '1 次分享', 'praise': '6', 'content': ''}
18-06-28 15:59:48 result parse_posts_html{'time': '2月15日', 'original': '原创', 'comment_sum': 7, 'share': '1 次分享', 'praise': '21', 'content': '伟大变革前夜，我们内心都有一个清晰的愿望：一个公民社会，一个伟大国家。这愿望值得所有人一起努力！在这辞旧迎新的时刻，让我们一起祝福，祝福美好中国！新春感恩与祝福——一封公民感谢信http://xuzhiyong2009.blogspot.hk/'}
18-06-28 15:59:48 result parse_posts_html{'time': '2月12日', 'original': '原创', 'comment_sum': 25, 'share': '2次分享', 'praise': '103', 'content': '回到开封过年'}
18-06-28 15:59:48 result parse_posts_html{'time': '1月15日', 'original': '原创', 'comment_sum': 30, 'share': '32次分享', 'praise': '102', 'content': '各位朋友，刚注册，先自我介绍一下吧，法学博士，近年主要工作是推动公民运动，倡导大家做真公民。感谢关注和支持！'}
18-06-28 15:59:48 result parse_posts_html{'time': '1月15日', 'original': '原创', 'comment_sum': 0, 'share': '', 'praise': '8', 'content': ''}
18-06-28 16:03:37 result parse_posts_html{'time': '18 小时', 'original': '原创', 'comment_sum': 4, 'share': '12次分享', 'praise': '54', 'content': '强权社会大众被剥夺。人人犬儒，支撑后极权。\n每个人每个群体为正当利益诉求挺身而出，客观上就在推动社会进步。\n支持老兵、教师、抖友、卡友维权，不苛责其理念、动机、口号。\n...\n引领国家变革方向的是理想主义者，不以此标准要求公众。大众挺身而出，为利益，或为朴素的愤怒，是社会运动的主力。\n展开', 'year': 2018, 'day': '18 小时'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月26日上午3:48', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 3, 'content': '【林夕：有病的人和有病的民族】历史悠久又能够说明什么？如果是病态的，病得越久，还能成精不成？作为一个人，不会有人炫耀自己病得多久是一件多么荣耀的事情。但是，作为一个民族就奇怪了，病得久似乎也是一件值得炫耀的事情。', 'year': 2018, 'month': '6', 'day': '26日上午3:48'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月26日上午3:34', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 1, 'content': '【林夕：文革是以文革的方式结束的，文革也将以文革的方式继续】中国人的集体叙事从来就是掩过取功，中国人的集体记忆从来就是掩恶取善。\n不论是文革的阴影还是文革对我们思维方式的影响，都证明文革并没有完全结束。\n文革所留给我们的，也不只是一大堆冤案，一大堆无辜的尸骨，一大堆人格凌辱与创伤，文革还留给我们以灵魂的黑暗', 'year': 2018, 'month': '6', 'day': '26日上午3:34'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月26日上午3:06', 'original': '非原创', 'comment_sum': 0, 'share': '2', 'praise': 6, 'content': '', 'year': 2018, 'month': '6', 'day': '26日上午3:06'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月26日上午3:03', 'original': '非原创', 'comment_sum': 0, 'share': '1', 'praise': 2, 'content': '', 'year': 2018, 'month': '6', 'day': '26日上午3:03'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月26日上午2:57', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '26日上午2:57'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月26日上午2:52', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '26日上午2:52'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月26日上午2:49', 'original': '非原创', 'comment_sum': 0, 'share': '1', 'praise': 3, 'content': '', 'year': 2018, 'month': '6', 'day': '26日上午2:49'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月26日上午2:47', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 2, 'content': '', 'year': 2018, 'month': '6', 'day': '26日上午2:47'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月26日上午2:45', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '26日上午2:45'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月26日上午1:29', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '26日上午1:29'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午11:33', 'original': '非原创', 'comment_sum': 0, 'share': '2', 'praise': 5, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午11:33'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午11:32', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 4, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午11:32'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午11:31', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午11:31'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午9:21', 'original': '非原创', 'comment_sum': 0, 'share': '1', 'praise': 3, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午9:21'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午9:20', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午9:20'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午9:18', 'original': '非原创', 'comment_sum': 1, 'share': '', 'praise': 3, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午9:18'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午9:16', 'original': '非原创', 'comment_sum': 0, 'share': '6', 'praise': 4, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午9:16'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午9:14', 'original': '非原创', 'comment_sum': 0, 'share': '3', 'praise': 4, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午9:14'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午9:14', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 4, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午9:14'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午8:59', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 5, 'content': '这是 " 小三 " 帮中国大哥背书吧 ?', 'year': 2018, 'month': '6', 'day': '25日下午8:59'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午8:40', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 2, 'content': 'Дээд монгол яруу найраг\n"ДЭЭД МОНГОЛ ЭНД БАЙНА"', 'year': 2018, 'month': '6', 'day': '25日下午8:40'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午8:06', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 3, 'content': '在美國重拳出擊中興國際以及美中關稅戰全面開打之際，中國悄悄捲起了「厲害了，我的國」的紅旗。習近平親自下令，禁止拍攝票房最佳的國產電影《厲害了，我的國》的續集。', 'year': 2018, 'month': '6', 'day': '25日下午8:06'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午7:51', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 1, 'content': '吃了幾十年蒸水蛋\n原來這才是最正確做法～\n學起來吧！\n簡易食譜重溫:...\n1.天氣冷學做薑汁燉奶: goo.gl/18zz3W\n2.豆腐美味新食法: goo.gl/XMPWoP\n3.蒜蓉粉絲蒸魚片: goo.gl/bKGLiW\n4.南瓜美味新做法: goo.gl/PX5dY1\n來源: 西瓜視頻\n-------------------\n*歡迎inbox / IG #playeateasy 投稿，把精彩作品透過我們平台與大家分享。投稿內容: 玩樂美食介紹、跳舞唱歌、插畫創作等影片或相片。\n--------------------\nfollow IG: instagr.am/playeateasy\n展开', 'year': 2018, 'month': '6', 'day': '25日下午7:51'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午7:08', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 2, 'content': ' ', 'year': 2018, 'month': '6', 'day': '25日下午7:08'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午6:42', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 5, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午6:42'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午5:16', 'original': '非原创', 'comment_sum': 0, 'share': '1', 'praise': 2, 'content': '蔡英文总统：中国对全球民主构成威胁 https://t.co/3oRlJUZTEx', 'year': 2018, 'month': '6', 'day': '25日下午5:16'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午4:58', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 2, 'content': '想吃面条不用买，教你不和面不擀面的做法，简单美味超好吃', 'year': 2018, 'month': '6', 'day': '25日下午4:58'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午3:47', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午3:47'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午3:29', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 4, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午3:29'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午3:27', 'original': '非原创', 'comment_sum': 0, 'share': '1', 'praise': 3, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午3:27'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午3:26', 'original': '非原创', 'comment_sum': 0, 'share': '3', 'praise': 5, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午3:26'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午3:22', 'original': '非原创', 'comment_sum': 0, 'share': '2', 'praise': 5, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午3:22'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午3:19', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 2, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午3:19'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午2:51', 'original': '非原创', 'comment_sum': 0, 'share': '1', 'praise': 3, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午2:51'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午2:41', 'original': '非原创', 'comment_sum': 0, 'share': '2', 'praise': 5, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午2:41'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午2:24', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 2, 'content': ' ', 'year': 2018, 'month': '6', 'day': '25日下午2:24'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午2:09', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 3, 'content': ' ', 'year': 2018, 'month': '6', 'day': '25日下午2:09'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午2:03', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '25日下午2:03'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日下午1:26', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 3, 'content': '一家持有美國技術秘密的台灣晶片製造公司的工程師們竭力掩蓋著一個猖狂的商業間諜案。當警察到達該公司突擊搜查時，工程師們緊急處理證據，讓低級別員工把USB隨身碟、筆記型電腦和文件藏起來，人力資源部門的員工帶著一名工程師的電話從前門走了出去。\n他們藏起來的東西比黃金和珠寶更有價值：美國美光科技的微晶片設計文件。這些微晶片幫助...推動了全球數位革命。據稱，這些設計將被送往中國大陸，在那裡，它們將幫助一家價值57億美元的新微晶片工廠投產。\n中國打算在未來技術上與美國展開針鋒相對的競爭。法庭文件及台灣警方的證詞反映了中國這些努力的黑暗面——並部分解釋了為什麼美國要與中國打貿易戰。\n展开', 'year': 2018, 'month': '6', 'day': '25日下午1:26'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午9:16', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '25日上午9:16'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午9:09', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 4, 'content': '', 'year': 2018, 'month': '6', 'day': '25日上午9:09'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午8:42', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 7, 'content': '中国发展强大 , 成了世界第二大经济体 。但是其代价是什么呢 ? 不仅毁掉了自然 , 更是丢掉了人性 ! 一个兽性的社会 , 在共产党的领导下正在崛起 。', 'year': 2018, 'month': '6', 'day': '25日上午8:42'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午8:29', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 2, 'content': '突厥、蒙古、伊斯蘭\n廣場近期規畫要出版下面五本:\nTHE MONGOL CONQUESTS IN WORLD HISTORY\n...\nTHE MONGOLS AND ISLAMIC WORLD\nTHE TURKS\nA World Without Islam(授權爭取中)\n蒙古與大明帝國(授權爭取中)\n展开', 'year': 2018, 'month': '6', 'day': '25日上午8:29'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午8:21', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 3, 'content': ' ', 'year': 2018, 'month': '6', 'day': '25日上午8:21'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午3:57', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '25日上午3:57'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午3:54', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '25日上午3:54'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午2:46', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 2, 'content': ' ', 'year': 2018, 'month': '6', 'day': '25日上午2:46'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午2:11', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 3, 'content': '', 'year': 2018, 'month': '6', 'day': '25日上午2:11'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午2:07', 'original': '非原创', 'comment_sum': 0, 'share': '1', 'praise': 4, 'content': '一个国家，一旦开始大肆宣扬领袖的讲话、思想，不断强调领袖的地位，随处可见领袖“英姿”，可以肯定，这个国家正在走向灾难的深渊！正所谓：领袖越伟大，人民越渺小。 一个社会最大的可怕与悲哀，不是人们害怕领袖有思想，也不是害怕领袖讲话，而是把领袖思想与讲话当作"圣旨"，甚至是威胁、恐吓、消灭不听领袖讲话，不服从领袖思想的人。（转）', 'year': 2018, 'month': '6', 'day': '25日上午2:07'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午1:57', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '25日上午1:57'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午1:54', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '25日上午1:54'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午12:41', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 1, 'content': '', 'year': 2018, 'month': '6', 'day': '25日上午12:41'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午12:35', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 4, 'content': ' ', 'year': 2018, 'month': '6', 'day': '25日上午12:35'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午12:31', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '斯太林當年也是這樣奪權！\n共同社：\n中共中央軍事委員會委員，中華人民共和國中央軍事委員會委員，中國人民解放軍海軍司令“吳勝利”接受調查……\n至此，上屆十八屆軍委成員，除了主席，全部在牢獄斯太林當年也是這樣奪權！\n共同社：\n中共中央軍事委員會委員，中華人民共和國中央軍事委員會委員，中國人民解放軍海軍司令“吳勝利”接受調查……\n至此，上屆十八屆軍委成員，除了主席，全部在牢獄', 'year': 2018, 'month': '6', 'day': '25日上午12:31'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午12:29', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 3, 'content': ' ', 'year': 2018, 'month': '6', 'day': '25日上午12:29'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月25日上午12:15', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': ' ', 'year': 2018, 'month': '6', 'day': '25日上午12:15'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月24日下午11:40', 'original': '非原创', 'comment_sum': 1, 'share': '', 'praise': 4, 'content': '《 四书 》 《五经 》 ，三纲五常 , 忠孝仁义的中国人和中华文化的今天 !', 'year': 2018, 'month': '6', 'day': '24日下午11:40'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月24日下午10:55', 'original': '非原创', 'comment_sum': 0, 'share': '2', 'praise': 3, 'content': '300 years old tuva uriankhai mongol sad song\nWhere are the sixty horses in my herd?\nWhere is the hitching post for my horse, Konggurei?\nWhere are the six region...s of my homeland?\nWhere is the village of my tribe, Kongurei?\nWhere are the seventy horses in my herd?\nWhere is the tether for my horse, Konggureÿ?\nWhere are the seven provinces of my homeland?\nWhere is my people, Kongurey?\nThe Aldyn-ydyk Tangdy\ufeff mountains\nAre the greatest of them all\nWhere are the six regions of my country?\nI praise, praise, praise the people of them.\n展开\n查看翻译', 'year': 2018, 'month': '6', 'day': '24日下午10:55'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月24日下午10:48', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 2, 'content': 'Munkhsaridag. Burenhaanii nuruu, Huvsgul', 'year': 2018, 'month': '6', 'day': '24日下午10:48'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月24日下午9:33', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '', 'year': 2018, 'month': '6', 'day': '24日下午9:33'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月24日下午9:31', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 2, 'content': ' ', 'year': 2018, 'month': '6', 'day': '24日下午9:31'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月24日下午9:22', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 3, 'content': '文字不能說明問題⋯⋯去片！', 'year': 2018, 'month': '6', 'day': '24日下午9:22'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月24日下午9:20', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 3, 'content': ' ', 'year': 2018, 'month': '6', 'day': '24日下午9:20'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月24日下午9:18', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '1910年 108年前 清朝宣統二年 (全新外國檔案公開）\n當年清朝人口四億多人，清朝末年人平均壽命 ：男31歲，女33歲\n清朝(1644-1912}末年北京城 貴族 平民 眾生相，\n...\n清朝 街道 喪禮巡行，\nwai tse 【歷史時空】整理\n展开', 'year': 2018, 'month': '6', 'day': '24日下午9:18'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月24日下午9:10', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 4, 'content': '话粗理不粗 !', 'year': 2018, 'month': '6', 'day': '24日下午9:10'}
18-06-28 20:09:38 result parse_posts_html{'time': '6月24日下午9:06', 'original': '非原创', 'comment_sum': 0, 'share': '', 'praise': 0, 'content': '台灣政壇最有智慧長者的箴言\n正在日本沖繩訪問的前總統李登輝今晚在琉球台僑晚宴上發表約10分鐘日語演說，他向中國政府喊話表示：「台灣不會是你的敵人，現在不是，以後也不是。而你最大的敵人，則是『真民主 』、『真自由』。而台灣正是這個真民主，真自由的代名詞而已。」李登輝並說，有一天台灣將以自己的名字走進國際社會。', 'year': 2018, 'month': '6', 'day': '24日下午9:06'}
